SPID,PROP_ID,PREFERENCE,DESCRIPTION,PROPERTY_TYPE,CITY,TRANSACT_TYPE,OWNTYPE,BEDROOM_NUM,PRICE_PER_UNIT_AREA,FURNISH,FACING,AGE,TOTAL_FLOOR
69306824,X69306824,S,"New brand 3bhk farmhouse with 68 guntha land for sale just 10km from karjat.

Newly constructed
3bhk fully furnished bungalow
Care taker room
Plot area : 68 agriculture land
Tittle clear single owner property 
Price : 3.25 cr.
Landmark : Near kadav
Road acces : Taar road
Water source : Boarwell
Electicity : Available
View from plot : Picturesque view of mountains, waterfalls, fog, & forest. Etc
Trees : Mango, coconut, guava, custard apple, jackfruit, banana & many other trees
Well maintained garden, lawn, flower & show plants.
Wall compound barbed wired fencing with gate 
Surroundings : Nearby shankar mahadevan, hariharan & sonu nigam farm houses, farm houses, holiday homes, agro tourism projects, bungalow projects and resorts.
Suitable for : Farmhouse, resort, meditation centre, holiday home, etc.
Distance / location: 
3 km from karjat-Murbad highway
8 km from karjat station
2 km from bhivpuri road station
14 km from old mumbai-Pune highway 
46 km from navi mumbai airport
Connectivity : Bus, six siter, auto, private vehicle, etc
Nearest market : Hospital, medical, bank, atm, market place, etc.. 3 km from said property.
With our local expertise and extensive network in karjat, we are able to provide you best options as per your requirement & budjet.
We provide farmer certificate.
We also have team of legal, architecture, construction & all services realated real estate investment, development & property management.",Farm House,Mumbai Beyond Thane,1,1,3,477941,1,4,6,1
70915032,R70915032,S,Our residential plots & commercial plots are available at the most affordable price. The progressive area of jnpt-Uran-Chirle-Chirner will reap the prospects of property in this location. Proposed sewri  nhava sheva sea-Link (Mumbai trans-Harbor-Link) and navi mumbai international airport boosting the development of these locations and attracting the eye of real estate investors to put money into these revitalizing areas,Residential Land,Navi Mumbai,1,1,,381,0,5,0,7
70916930,G70916930,P,"Spacious bedroom with 
Double size bed with durafit mattress
Good intirior, ambience lighting, air conditioner, bright flooring, long lenth windows with designer curtains, with study table, with indian sitting at window , attached washroom with gyser, cumoard, jaguar shower panel, society with lift, big passage entry, bedroom with personalised lock
Security check entry at society passage",Residential Apartment,Thane,,0,1,51,1,3,3,7
70484400,H70484400,P,"Pg for boys and girls available with price of:

(|) single sharing - 22k to 25k
 (||) double sharing - 10k 12k 

 Hall - 7k",Residential Apartment,Thane,,0,4,6,1,0,6,17
70484128,A70484128,P,"Pg for boys and girls in thane with below price:

 (|) single sharing - 15k-22k 
 (||) double sharing - 10k-12k",Residential Apartment,Thane,,0,4,6,1,0,6,30
70484644,C70484644,P,"Pg for boys and girls near by wagle estate with price:

 Double sharing common bed- 7.5
 Master bed - 7.5k 
 Hall -6.5k
Everything will be common",Residential Apartment,Thane,,0,3,7,1,0,3,6
70816344,D70816344,P,"If you are looking for pg/paying guest in sector 21 nerul, navi mumbai, your search ends here. Check out this option for people like you in monil cottage, navi mumbai. It is a sharing room. You have to share it with 2 people. The property has 2 bedrooms with 2 bathrooms & 2 balconies built in a 850 sq.Ft. Carpet area. It is a furnished room. The property comprise of 1 light, 1 ac, 2 wardrobe, 1 fan, 2 geyser, 1 washing machine, 1 stove, 1 fridge, 1 water purifier, 1 microwave, 1 modular kitchen, 1 dining table, 3 curtains and 1 exhaust fan. Parking available: 1 open parking. It is a 5-10 years old pg accommodation. The room is available from tue, 15 aug 2023. This pg has 6 beds. This room is currently available for 6000 only. A refundable amount of 6000 as security will be required initially. Minimum contract duration for pg will be 1 month. You will have to serve a notice period of 1 month. Some house rules are alcohol not allowed, pets not allowed, smoking not allowed, party/event not allowed and visitors not allowed. You will also get water storage and security / fire alarm, in a gated society. Additionally, the property has partial power back up. This property faces the north-East direction. Anti skid vitrified flooring are in all the rooms.

6000- Triple sharing
8000 - Double sharing 
12000- Sungle",Residential Apartment,Navi Mumbai,,0,2,7,1,5,2,3
70486606,R70486606,P,"Separate pg for boys and girls with below price:

Triple sharing- 6k 
Four sharing - 5k",Independent House/Villa,Navi Mumbai,,0,4,2,1,5,1,3
70485228,D70485228,P,"Pg for boys and girls (Separate) with price of: 

 (||) double sharing ( Common ) - 5k 
 (||) double sharing (Master )- 5.5k",Residential Apartment,Mumbai Beyond Thane,,0,3,3,1,0,1,22
70629508,K70629508,P,"1. This building is not a tower but has only 6floors.
2. It is located on central avenue road having all the banks branches near by.
3. It is the 1st building near diamond garden, 10 mins. Walk from chembur railway station and 5 mins. Walk from mumbai pune road.
4. Temple, church are nearby, within 5mins. Walk.
5. The pg accommodation is a master bedroom with a double bed, a built in wardrobe, fitted ac, attached bathroom with 24hr hot and cold running water.",Residential Apartment,Mumbai Harbour,,0,2,25,1,3,3,6
